词	TF	IDF	Raw_Score	Final_Score
优先选择	0.669385	6.555560	5.444572	0.719896
高且	0.474647	6.891626	5.422754	0.718139
CEU	0.344199	7.807307	5.635488	0.734877
SFFR	0.256735	7.807307	5.489462	0.723481
大程度	0.136584	7.807307	5.175442	0.697581
信息安全	1.154887	6.104387	5.503107	0.724563
信息系统	1.710745	5.670287	5.478368	0.722598
平板	0.838804	6.891626	5.706362	0.740263
体不需	0.151133	7.807307	5.225773	0.701863
板间	0.346834	7.402045	5.479992	0.722728
来回	0.151133	7.807307	5.225773	0.701863
板	0.930209	6.304652	5.491819	0.723668
层板	0.151133	7.807307	5.225773	0.701863
特例	0.490659	6.891626	5.439270	0.719470
吻合	1.268787	5.730708	5.361254	0.713139
跳非	0.148889	7.807307	5.218334	0.701233
对间	0.270588	7.402045	5.356418	0.712743
直传	0.691081	6.555560	5.460452	0.721168
替换	1.879924	5.104935	5.211706	0.700671
私有	1.275776	6.017579	5.509887	0.725099
点线	0.265223	7.807307	5.505661	0.724765
加法	0.634189	6.709508	5.487022	0.723287
体制	2.159951	4.951795	5.189881	0.698815
正侧	0.143938	7.807307	5.201517	0.699806
负侧	0.143938	7.807307	5.201517	0.699806
库	1.368150	5.670287	5.367127	0.713620
电信业务	1.577889	5.795044	5.503136	0.724565
UML	0.851363	6.709508	5.633700	0.734739
建模语言	0.511028	6.891626	5.459520	0.721094
引擎	0.951659	6.304652	5.503171	0.724568
MDA	0.775587	6.709508	5.587261	0.731158
MBMS	0.670608	7.114566	5.690033	0.739030
各会话	0.138574	7.807307	5.182633	0.698196
上以	0.720860	6.555560	5.481457	0.722844
二进	1.119962	6.709508	5.770348	0.745045
即二值	0.307509	7.402045	5.420079	0.717923
Fourier	0.294558	7.402045	5.398661	0.716189
折叠	0.797893	6.891626	5.681445	0.738380
活跃	0.873867	6.709508	5.646699	0.735735
网络连接	0.843411	6.422232	5.498249	0.724178
更具	0.942717	6.104387	5.402046	0.716464
95%	0.379218	7.114566	5.406110	0.716793
能效	2.080683	5.173523	5.302004	0.708252
WMN	0.386404	7.402045	5.533791	0.726983
DSR	0.340650	7.402045	5.471034	0.722014
TEER	0.140210	7.807307	5.188468	0.698694
剩余	2.338983	4.540481	4.970918	0.679662
占空比	0.527157	7.114566	5.570121	0.729825
MTEER	0.140210	7.807307	5.188468	0.698694
EMRP	0.140210	7.807307	5.188468	0.698694
寿命	1.451218	5.613331	5.366317	0.713553
Cholesky	0.156997	7.807307	5.244704	0.703460
次序	0.644321	6.555560	5.425574	0.718367
递减	0.500420	6.891626	5.449077	0.720257
顺序排列	0.156997	7.807307	5.244704	0.703460
最先	0.156997	7.807307	5.244704	0.703460
越弱	0.156997	7.807307	5.244704	0.703460
PCNN	0.766419	6.891626	5.661392	0.736856
形态学	1.097046	6.199494	5.523713	0.726190
去除	1.825837	5.104935	5.197190	0.699437
发放	0.532097	6.891626	5.479636	0.722699
开	0.540882	6.891626	5.487789	0.723348
闭	0.220971	7.807307	5.414779	0.717495
以比	0.144984	7.807307	5.205118	0.700112
IEEE802.11	1.347085	6.199494	5.625984	0.734147
省	0.598824	7.114566	5.633621	0.734733
beacon	0.221501	7.807307	5.415970	0.717591
站点	1.060869	6.422232	5.612500	0.733109
指示	1.267431	5.795044	5.394059	0.715815
表域	0.145344	7.807307	5.206352	0.700217
区分度	0.372915	7.114566	5.397767	0.716117
Intra	0.438289	7.402045	5.596548	0.731877
左面	0.135661	7.807307	5.172069	0.697293
上面	0.135661	7.807307	5.172069	0.697293
Joint	0.135661	7.807307	5.172069	0.697293
Video	0.135661	7.807307	5.172069	0.697293
Team	0.135661	7.807307	5.172069	0.697293
G013	0.135661	7.807307	5.172069	0.697293
25%	0.720981	6.422232	5.420162	0.717930
SNR	1.540260	5.613331	5.395954	0.715969
越小	0.333113	7.402045	5.459895	0.721124
越差	0.142302	7.807307	5.195834	0.699322
键	0.589296	6.709508	5.450467	0.720369
分类号	0.268909	7.402045	5.353322	0.712489
标识码	0.268909	7.402045	5.353322	0.712489
Abstract	0.399920	7.114566	5.432569	0.718931
Key	0.475406	6.891626	5.423549	0.718204
words	0.268909	7.402045	5.353322	0.712489
FSP	0.232872	7.807307	5.440893	0.719600
适时	0.284121	7.402045	5.380707	0.714729
折衷	0.694504	6.555560	5.462913	0.721365
雷达	1.432363	5.863834	5.490209	0.723540
电子战	0.472426	7.402045	5.633913	0.734756
使容差	0.150666	7.807307	5.224234	0.701733
互	1.510385	5.795044	5.481364	0.722837
耦	1.536830	5.613331	5.394844	0.715879
中树	0.287682	7.807307	5.546141	0.727952
似然比	1.154856	6.017579	5.460304	0.721157
用到	0.411326	7.114566	5.446569	0.720056
下能	1.245996	5.730708	5.352234	0.712399
功能属性	0.366593	7.807307	5.666894	0.737275
软件系统	0.886108	6.555560	5.584246	0.730924
扮演	0.370289	7.114566	5.394249	0.715831
软件体系结构	0.642611	7.114566	5.668783	0.737419
进展	1.094193	6.199494	5.522416	0.726088
求精	0.331671	7.402045	5.457736	0.720951
欠缺	0.280539	7.402045	5.374393	0.714213
最有	0.148050	7.807307	5.215525	0.700995
前途	0.148050	7.807307	5.215525	0.700995
控制组	0.349718	7.402045	5.484116	0.723056
播组	0.227979	7.807307	5.430321	0.718750
缓存数据	0.547419	6.891626	5.493772	0.723823
OSTBC	0.540880	7.114566	5.582923	0.730821
配方	0.148466	7.807307	5.216918	0.701113
情形	1.703687	5.173523	5.202577	0.699896
0.2	0.759447	6.422232	5.446038	0.720013
GMPLS	0.223144	7.807307	5.419649	0.717889
Diffie	0.910347	6.304652	5.481072	0.722814
Hellman	0.910347	6.304652	5.481072	0.722814
口令	1.213919	6.304652	5.624406	0.734026
ECAKA	0.167282	7.807307	5.276268	0.706108
CCK	0.274190	7.807307	5.522218	0.726072
FPGA	1.545641	5.730708	5.459501	0.721092
b	0.544378	6.891626	5.490998	0.723603
17.6	0.148466	7.807307	5.216918	0.701113
Mbit	0.383224	7.114566	5.411340	0.717217
码比	0.264957	7.402045	5.345955	0.711884
FWT	0.148466	7.807307	5.216918	0.701113
fast	0.344641	7.402045	5.476835	0.722476
Walsh	0.978088	6.555560	5.633445	0.734720
transform	0.279646	7.402045	5.372805	0.714084
现场	1.549335	5.413471	5.290635	0.707306
可编程	1.615287	5.413471	5.311375	0.709029
门阵列	1.154803	5.863834	5.382981	0.714914
交易	1.587748	5.613331	5.411068	0.717195
NBS	0.531515	7.114566	5.574222	0.730145
相等	1.336968	5.863834	5.455894	0.720804
适当	1.859501	4.951795	5.115426	0.692410
RPR	0.148466	7.807307	5.216918	0.701113
长于	0.148466	7.807307	5.216918	0.701113
环中	0.316001	7.807307	5.592906	0.731595
C	2.416965	4.724770	5.105793	0.691574
路测	0.171136	7.807307	5.287599	0.707053
rise	0.156997	7.807307	5.244704	0.703460
over	1.005429	6.304652	5.530542	0.726728
thermal	0.156997	7.807307	5.244704	0.703460
ROT	0.156997	7.807307	5.244704	0.703460
与非	0.671186	6.555560	5.445909	0.720003
GMSK	0.266302	7.807307	5.507683	0.724925
BT	0.418995	7.402045	5.574122	0.730137
0.3	0.558800	6.709508	5.424014	0.718241
移频	0.385720	7.402045	5.532910	0.726914
四	0.915665	6.422232	5.539182	0.727406
四相	0.383395	7.114566	5.411563	0.717235
信息反馈	0.668423	6.555560	5.443856	0.719838
手写	0.897116	6.709508	5.659781	0.736733
粘连	0.825016	6.891626	5.698103	0.739640
数字串	0.640690	7.114566	5.667292	0.737305
句法分析	0.302560	7.402045	5.412004	0.717271
字串	0.629832	6.891626	5.563613	0.729318
书写	0.489253	7.114566	5.532957	0.726917
87.5%	0.171136	7.807307	5.287599	0.707053
支票	0.359973	7.402045	5.498507	0.724198
账号	0.523175	6.891626	5.471216	0.722028
观察窗	0.159539	7.807307	5.252693	0.704132
简单易行	0.589580	6.709508	5.450707	0.720388
MobileIP	0.579443	7.402045	5.735659	0.742462
中组播	0.626252	7.114566	5.655934	0.736440
Mobile	0.680562	6.555560	5.452816	0.720557
隧道	0.718227	6.709508	5.548991	0.728175
家乡	0.270143	7.402045	5.355600	0.712676
DHT	0.934847	6.709508	5.680309	0.738294
Hartley	0.163906	7.807307	5.266126	0.705259
并行处理	0.505243	6.891626	5.453852	0.720640
DSP	1.337660	5.937739	5.493568	0.723807
费率	0.916088	6.709508	5.670208	0.737527
CDS	0.253917	7.807307	5.483968	0.723044
MCDS	0.286753	7.807307	5.544530	0.727826
下多	1.063042	6.304652	5.558294	0.728903
多路	1.444441	5.795044	5.459137	0.721063
导出	1.796429	5.072347	5.170012	0.697116
随跳数	0.148466	7.807307	5.216918	0.701113
态和非	0.149760	7.807307	5.221235	0.701479
穿插	0.149760	7.807307	5.221235	0.701479
不必	0.510168	6.891626	5.458682	0.721027
假冒	0.485186	6.891626	5.433686	0.719021
DWCS	0.271585	7.807307	5.517464	0.725697
移动用户	1.138724	6.104387	5.496089	0.724007
fd	0.144984	7.807307	5.205118	0.700112
Nakagami	1.410249	5.795044	5.447210	0.720108
AM	0.236846	7.807307	5.449315	0.720276
SR	0.510084	7.402045	5.672125	0.737673
resilient	0.305988	7.402045	5.417613	0.717724
functions	0.133331	7.807307	5.163459	0.696555
计数问题	0.782937	6.891626	5.672016	0.737664
十分必要	0.133331	7.807307	5.163459	0.696555
＞	0.644140	6.709508	5.494774	0.723902
免疫	2.158142	5.247226	5.362423	0.713235
分划	0.515681	7.114566	5.559159	0.728970
等价关系	0.262986	7.402045	5.342238	0.711578
传输方式	1.195310	6.104387	5.520239	0.725916
比率	0.690801	6.555560	5.460251	0.721152
安排	0.551057	6.891626	5.497070	0.724084
设立	0.454455	7.114566	5.496216	0.724017
形式化	1.636753	5.326864	5.269803	0.705567
四叉树	0.236846	7.807307	5.449315	0.720276
修饰词	0.155818	7.807307	5.240955	0.703144
满意度	1.438605	5.730708	5.423775	0.718222
所在区域	0.158235	7.807307	5.248612	0.703789
快变	0.389664	7.402045	5.537975	0.727312
BEM	0.210779	7.807307	5.391274	0.715589
PIC	0.834766	6.709508	5.623892	0.733986
移相	0.138057	7.807307	5.180775	0.698037
分簇	2.094510	5.104935	5.265463	0.705203
回传	0.736574	6.709508	5.561554	0.729157
总是	0.571845	6.709508	5.435501	0.719167
浪费	1.121126	5.937739	5.405653	0.716756
TDDLTE	0.304692	7.807307	5.574753	0.730186
码本	1.648316	5.863834	5.560144	0.729047
26%	0.148050	7.807307	5.215525	0.700995
33%	0.264588	7.402045	5.345260	0.711826
DNC	0.212322	7.807307	5.394905	0.715884
ONC	0.212322	7.807307	5.394905	0.715884
比仅	0.139104	7.807307	5.184533	0.698358
贡献度	0.552498	7.114566	5.593509	0.731642
关联度	0.648902	6.891626	5.578470	0.730475
要素	1.112466	6.104387	5.484472	0.723084
紧密	0.824473	6.304652	5.431743	0.718864
凸显	0.150209	7.807307	5.222722	0.701605
定量化	0.270801	7.402045	5.356810	0.712775
60GHz	0.472831	7.402045	5.634339	0.734788
60	0.710550	6.709508	5.543639	0.727756
低功耗	1.479336	5.559466	5.347077	0.711976
未作	0.144630	7.807307	5.203901	0.700008
802153c	0.144630	7.807307	5.203901	0.700008
主瓣	0.786746	6.555560	5.525010	0.726292
动点	0.224875	7.807307	5.423495	0.718199
点积	0.291607	7.402045	5.393650	0.715782
两条	0.737673	6.555560	5.492937	0.723757
上动点	0.229991	7.807307	5.434695	0.719102
维空间	0.585292	6.891626	5.527084	0.726456
一般性	0.663727	6.709508	5.509690	0.725084
HAPS	0.474317	7.402045	5.635903	0.734908
高纬度	0.227335	7.807307	5.428912	0.718636
站	1.281544	5.795044	5.399571	0.716263
时所	0.431809	7.114566	5.470764	0.721992
计算能力	1.008233	6.017579	5.392715	0.715706
蚁	1.287477	5.863834	5.437115	0.719297
同源性	0.266854	7.807307	5.508713	0.725006
克隆	0.719476	6.709508	5.549856	0.728243
基本块	0.309152	7.807307	5.581992	0.730749
原文件	0.144984	7.807307	5.205118	0.700112
常见	1.472208	5.413471	5.265234	0.705184
工具	2.114768	4.819273	5.098467	0.690936
寡头	0.340370	7.402045	5.470625	0.721981
竞合	0.220971	7.807307	5.414779	0.717495
利润	0.711180	6.555560	5.474726	0.722308
定价	1.630241	5.670287	5.454370	0.720682
领先者	0.148466	7.807307	5.216918	0.701113
后动	0.226082	7.807307	5.426160	0.718414
繁荣	0.148466	7.807307	5.216918	0.701113
使后	0.148466	7.807307	5.216918	0.701113
愈加	0.272024	7.402045	5.359052	0.712959
应该	1.028365	6.104387	5.445334	0.719957
坚持	0.226082	7.807307	5.426160	0.718414
低价	0.148466	7.807307	5.216918	0.701113
规模化	0.148466	7.807307	5.216918	0.701113
中低端	0.148466	7.807307	5.216918	0.701113
模仿性	0.148466	7.807307	5.216918	0.701113
优质	0.269025	7.402045	5.353535	0.712506
高价	0.148466	7.807307	5.216918	0.701113
高端	0.337401	7.402045	5.466263	0.721633
前轮驱动	0.518792	7.402045	5.680561	0.738313
自行车	0.958865	6.709508	5.692949	0.739251
直线运动	0.216117	7.807307	5.403723	0.716600
配重	0.502833	7.114566	5.546592	0.727987
调节器	0.537842	7.114566	5.580117	0.730603
欠	0.750278	6.709508	5.570736	0.729873
仅靠	0.143600	7.807307	5.200349	0.699706
车把	0.734765	6.709508	5.560329	0.729062
转动	0.489043	7.114566	5.532743	0.726901
水平面	0.270366	7.402045	5.356010	0.712709
行走	0.757636	6.709508	5.575597	0.730252
转弯半径	0.269145	7.402045	5.353759	0.712524
出用	0.270684	7.402045	5.356595	0.712757
前轮	0.218938	7.807307	5.410178	0.717123
动能	0.143600	7.807307	5.200349	0.699706
拉格朗	1.631793	5.286245	5.245449	0.703523
日	1.727279	5.209689	5.230201	0.702237
转角	0.570535	6.891626	5.514368	0.725453
线性化	1.124842	6.104387	5.489981	0.723522
车架	0.370723	7.402045	5.513161	0.725358
横滚	0.476512	7.114566	5.519816	0.725883
角	1.673985	5.413471	5.329135	0.710498
样机	0.804170	6.555560	5.535919	0.727150
力矩	0.723067	6.709508	5.552336	0.728437
SCM	0.669099	7.114566	5.688910	0.738945
彩色图像	0.759474	6.555560	5.507441	0.724906
皮层	0.433995	7.114566	5.473278	0.722193
点火	0.333348	7.402045	5.460246	0.721152
赋时	0.144984	7.807307	5.205118	0.700112
处理过程	0.381736	7.114566	5.409404	0.717060
恰好	0.144984	7.807307	5.205118	0.700112
韦伯	0.370166	7.114566	5.394084	0.715817
费赫涅尔	0.144984	7.807307	5.205118	0.700112
定律	0.555450	6.891626	5.501024	0.724398
较亮	0.144984	7.807307	5.205118	0.700112
差值	1.210886	5.863834	5.406584	0.716832
粗糙	1.021402	6.199494	5.488135	0.723375
较暗	0.144984	7.807307	5.205118	0.700112
人眼	1.069431	6.199494	5.511017	0.725188
HSI	0.144984	7.807307	5.205118	0.700112
色彩	0.667764	6.891626	5.592743	0.731583
色调	0.375192	7.114566	5.400798	0.716363
饱和度	0.430216	7.114566	5.468924	0.721845
幂次	0.285633	7.402045	5.383349	0.714944
拉伸	0.144984	7.807307	5.205118	0.700112
图像增强	0.648813	6.555560	5.429032	0.718646
而单	0.141990	7.807307	5.194741	0.699229
无此	0.141990	7.807307	5.194741	0.699229
电调	0.217495	7.807307	5.406887	0.716856
接口标准	0.144984	7.807307	5.205118	0.700112
AISG	0.271585	7.807307	5.517464	0.725697
下电调	0.144984	7.807307	5.205118	0.700112
掩码	0.749282	6.555560	5.500713	0.724373
推进	0.658122	6.709508	5.505467	0.724750
数对	0.591789	6.709508	5.452569	0.720537
B1	0.380400	7.114566	5.407659	0.716919
编排	0.846772	6.422232	5.500229	0.724335
位数	0.490639	6.891626	5.439250	0.719468
一对	0.803046	6.304652	5.418635	0.717807
新拟	0.239461	7.807307	5.454784	0.720715
牛顿	0.879815	6.304652	5.464087	0.721459
码间	0.894409	6.199494	5.422035	0.718081
正定	0.735123	6.422232	5.429832	0.718710
Hesse	0.161630	7.807307	5.259170	0.704676
LMS	1.457060	5.937739	5.536145	0.727168
Newton	0.543259	6.891626	5.489973	0.723521
法自	0.161630	7.807307	5.259170	0.704676
相关矩阵	1.159936	6.104387	5.505279	0.724735
标识	1.342304	5.795044	5.422628	0.718129
散	0.718489	6.555560	5.479817	0.722714
重载	0.390179	7.114566	5.420294	0.717941
OverlayWeaver	0.148466	7.807307	5.216918	0.701113
Dirichlet	0.356949	7.402045	5.494306	0.723865
待测	0.558793	7.114566	5.599152	0.732079
Gibbs	0.164711	7.807307	5.268563	0.705463
推理	1.794408	5.369221	5.339198	0.711328
报道	0.385564	7.402045	5.532708	0.726898
相关度	1.011994	6.199494	5.483528	0.723009
种子	1.120726	6.104387	5.488156	0.723377
恒幅	0.273438	7.402045	5.361633	0.713170
零自	0.273438	7.402045	5.361633	0.713170
每根	0.143600	7.807307	5.200349	0.699706
关和	0.143600	7.807307	5.200349	0.699706
逢	0.228637	7.807307	5.431754	0.718865
买入	0.228637	7.807307	5.431754	0.718865
ElGamal	0.542959	7.114566	5.584834	0.730969
拍卖行	0.154151	7.807307	5.235606	0.702693
买家	0.338764	7.402045	5.468271	0.721793
共同	1.871115	5.010231	5.153509	0.695700
成交价	0.154151	7.807307	5.235606	0.702693
一般化	0.296223	7.402045	5.401468	0.716417
利用网络	0.886765	6.199494	5.417763	0.717736
斜投影	0.276982	7.807307	5.527264	0.726470
值不经	0.150666	7.807307	5.224234	0.701733
地滤	0.150666	7.807307	5.224234	0.701733
内时	0.152096	7.807307	5.228932	0.702130
SIC	1.082324	6.199494	5.516985	0.725660
Alamouti	0.619561	6.709508	5.475402	0.722362
满分	0.891033	6.304652	5.470395	0.721963
数为	0.643354	6.555560	5.424826	0.718307
2N	0.144984	7.807307	5.205118	0.700112
码能	0.261859	7.402045	5.340101	0.711402
三元	0.662060	6.891626	5.588469	0.731251
测量方法	1.553303	5.670287	5.430302	0.718748
值以	0.400838	7.114566	5.433711	0.719023
推断出	0.492318	6.891626	5.440951	0.719605
BitTorrent	0.687648	7.114566	5.702536	0.739974
难以获得	0.584217	6.709508	5.446157	0.720023
tracker	0.151609	7.807307	5.227339	0.701995
爬	0.151609	7.807307	5.227339	0.701995
行者	0.151609	7.807307	5.227339	0.701995
下载	0.737820	6.422232	5.431655	0.718857
客户端	1.137088	6.104387	5.495373	0.723950
排名	0.278721	7.402045	5.371156	0.713949
哈达	0.687756	7.114566	5.702615	0.739980
玛	0.534713	7.402045	5.695623	0.739453
猜想	0.834250	6.709508	5.623584	0.733963
卡尔曼	1.157563	6.304652	5.600724	0.732200
结构化分析	0.274190	7.807307	5.522218	0.726072
软件工程	0.274190	7.807307	5.522218	0.726072
介电	0.327037	7.807307	5.610007	0.732917
测井	0.616127	7.114566	5.647813	0.735820
热对	0.287682	7.807307	5.546141	0.727952
树支型	0.287682	7.807307	5.546141	0.727952
传输网	0.978190	6.555560	5.633498	0.734724
10kV	0.906816	6.891626	5.745216	0.743176
电力网	0.906816	6.891626	5.745216	0.743176
诊断模型	0.778127	6.709508	5.588890	0.731284
样值	0.565581	7.114566	5.605167	0.732544
钻石	0.287682	7.807307	5.546141	0.727952
晶体	1.449450	5.937739	5.533537	0.726963
光子	1.763248	5.613331	5.463260	0.721393
十进制	0.312418	7.807307	5.587226	0.731155
合成	1.944140	5.104935	5.228409	0.702086
方框图	0.618256	7.114566	5.649532	0.735951
取样	1.199370	6.304652	5.618398	0.733564
SHPLL	0.370138	7.402045	5.512374	0.725296
PFPLL	0.301218	7.402045	5.409790	0.717091
计算机程序	0.699018	6.555560	5.466138	0.721623
经带通	0.299487	7.807307	5.566171	0.729517
功率密度	0.400604	7.402045	5.551766	0.728392
马尔柯夫	0.168197	7.807307	5.278980	0.706334
谱分析	0.289751	7.402045	5.390472	0.715524
SQPSK	0.168197	7.807307	5.278980	0.706334
QORC	0.168197	7.807307	5.278980	0.706334
SQORC	0.168197	7.807307	5.278980	0.706334
DG	0.290697	7.807307	5.551334	0.728359
DP	0.697677	6.891626	5.614572	0.733269
彩色电视	0.585240	7.114566	5.622189	0.733855
电视信号	0.638039	7.114566	5.665225	0.737148
计算机软件	0.401680	7.114566	5.434755	0.719107
所求	0.261740	7.402045	5.339875	0.711383
四个	0.693257	6.555560	5.462018	0.721294
外围	0.136822	7.807307	5.176307	0.697655
ADC	0.528162	7.114566	5.571070	0.729899
事实上	0.136822	7.807307	5.176307	0.697655
归结为	0.395683	7.114566	5.427267	0.718503
很少	0.728014	6.422232	5.424994	0.718320
正弦波	0.379866	7.402045	5.525293	0.726314
三线	0.233632	7.807307	5.442514	0.719730
微带线	0.713760	6.891626	5.625926	0.734143
多级	1.717616	5.508376	5.393833	0.715797
共轭	1.062441	6.104387	5.461564	0.721257
高增益	0.317210	7.402045	5.435541	0.719170
高效率	1.022957	6.199494	5.488893	0.723436
微带	1.467982	5.863834	5.502440	0.724510
UHF	0.617270	7.114566	5.648736	0.735891
低端	0.273303	7.402045	5.361388	0.713150
APC	0.174417	7.807307	5.297045	0.707840
数学分析	0.851359	6.304652	5.447718	0.720148
电子计算机	0.230689	7.807307	5.436203	0.719223
实行	0.830851	6.555560	5.552175	0.728424
编写	0.684381	6.555560	5.455602	0.720780
任一	0.595298	6.709508	5.455512	0.720773
邮电部门	0.534649	7.402045	5.695563	0.739448
经济核算	0.356209	7.807307	5.652575	0.736184
必要	1.095920	6.017579	5.434226	0.719064
深远影响	0.315751	7.402045	5.433246	0.718985
自有	0.315751	7.402045	5.433246	0.718985
经济效益	0.906409	6.709508	5.664916	0.737124
长途电话	0.531991	7.402045	5.693079	0.739260
调研	0.427027	7.114566	5.465219	0.721549
图论	1.540975	5.559466	5.367391	0.713641
网路	1.519632	5.937739	5.557087	0.728808
分摊	0.160914	7.807307	5.256961	0.704490
累加法	0.160914	7.807307	5.256961	0.704490
转接	0.419969	7.114566	5.456922	0.720886
优选	1.253512	6.104387	5.543917	0.727778
机助	0.779136	6.891626	5.669592	0.737480
SIMEC	0.551595	7.402045	5.711113	0.740620
河北省	0.160914	7.807307	5.256961	0.704490
满意	1.023044	6.104387	5.442752	0.719750
今年	0.160914	7.807307	5.256961	0.704490
六月	0.160914	7.807307	5.256961	0.704490
正式	0.160914	7.807307	5.256961	0.704490
鉴定	0.758617	6.891626	5.656293	0.736467
诠释	0.566050	7.114566	5.605581	0.732575
含义	0.456974	7.114566	5.498967	0.724235
本质	0.903482	6.199494	5.427059	0.718487
割集	0.457823	7.402045	5.618270	0.733554
充要条件	1.200872	6.017579	5.479758	0.722709
商榷	0.274190	7.807307	5.522218	0.726072
例子	1.212575	5.937739	5.444687	0.719905
笔者	1.227392	5.863834	5.413324	0.717377
对文	0.227899	7.807307	5.430145	0.718735
〔	0.873658	6.709508	5.646579	0.735726
〕	0.873658	6.709508	5.646579	0.735726
软件包	0.788248	6.709508	5.595328	0.731783
简介	0.634910	7.402045	5.781223	0.745850
染色体	0.715038	6.891626	5.626818	0.734211
通风	0.327037	7.807307	5.610007	0.732917
工程设计	0.564516	7.114566	5.604229	0.732471
II	0.713230	6.709508	5.545514	0.727903
列紧	0.178112	7.807307	5.307475	0.708706
可分	0.178112	7.807307	5.307475	0.708706
分形	1.388209	6.199494	5.640966	0.735296
指纹图	0.544727	7.402045	5.704869	0.740150
布朗运动	0.160914	7.807307	5.256961	0.704490
粗	0.839310	6.422232	5.495822	0.723986
找	0.160914	7.807307	5.256961	0.704490
仅用	0.284725	7.402045	5.381763	0.714815
不足以	0.399741	7.114566	5.432346	0.718913
ACS	0.493491	7.402045	5.655647	0.736418
其选路	0.178112	7.807307	5.307475	0.708706
MAS	0.462814	7.402045	5.623671	0.733969
／	1.230154	6.104387	5.534549	0.727043
KIB	0.295941	7.807307	5.560238	0.729055
相信	0.164711	7.807307	5.268563	0.705463
意愿	0.396997	7.114566	5.428917	0.718637
公理	0.640463	7.114566	5.667114	0.737292
RAG	0.249817	7.807307	5.475863	0.722399
待识	0.263156	7.807307	5.501764	0.724456
字符	1.539492	5.863834	5.526126	0.726380
机械工程	0.173281	7.807307	5.293795	0.707569
分开	0.646603	6.709508	5.496674	0.724053
好地解决	1.534246	5.369221	5.261270	0.704852
小数点	0.296868	7.402045	5.402551	0.716505
虚线	0.173281	7.807307	5.293795	0.707569
划线	0.173281	7.807307	5.293795	0.707569
短线	0.286553	7.402045	5.384949	0.715074
中待识	0.173281	7.807307	5.293795	0.707569
单径	0.680665	6.709508	5.522239	0.726074
Bensley	0.140496	7.807307	5.189482	0.698781
1996	0.140496	7.807307	5.189482	0.698781
控制流	0.878656	6.422232	5.518636	0.725790
试图	0.791560	6.422232	5.466657	0.721664
内聚性	0.164711	7.807307	5.268563	0.705463
内聚	0.164711	7.807307	5.268563	0.705463
级别	1.248477	5.937739	5.459214	0.721069
数越	0.298374	7.402045	5.405069	0.716709
越少	0.155818	7.807307	5.240955	0.703144
忽略不计	0.155818	7.807307	5.240955	0.703144
特征值	1.676554	5.369221	5.305396	0.708533
EPLD	0.287682	7.807307	5.546141	0.727952
VLSI	0.791142	6.891626	5.677211	0.738059
CAD	0.522260	7.114566	5.565473	0.729463
集成度	0.410321	7.114566	5.445350	0.719958
费用	1.076790	6.017579	5.425460	0.718358
美国	0.414253	7.114566	5.450098	0.720339
Altera	0.157608	7.807307	5.246637	0.703623
公司	1.019659	6.104387	5.441102	0.719617
MAX	0.281511	7.402045	5.376113	0.714354
PLUS	0.157608	7.807307	5.246637	0.703623
专业	1.159505	6.199494	5.551290	0.728355
学生	0.845601	6.422232	5.499540	0.724280
控制台	0.307531	7.807307	5.579372	0.730545
操作界面	0.172189	7.807307	5.290649	0.707307
Intranet	0.172189	7.807307	5.290649	0.707307
以太网	1.470470	5.795044	5.468029	0.721774
网络化	0.421866	7.114566	5.459165	0.721065
可扩充性	0.172189	7.807307	5.290649	0.707307
外设	0.636635	7.114566	5.664127	0.737064
简要	1.198357	5.863834	5.401407	0.716412
CIN	0.328977	7.402045	5.453675	0.720626
交互式	1.026367	6.422232	5.596029	0.731837
VOD	0.512381	7.402045	5.674364	0.737843
框图	0.305816	7.402045	5.417332	0.717701
信息流	0.770501	6.555560	5.514619	0.725473
节目	0.461753	7.402045	5.622528	0.733881
网守	0.658591	7.114566	5.681023	0.738348
ATMoverADSL	0.327037	7.807307	5.610007	0.732917
软件设计	0.547804	7.114566	5.589259	0.731313
ADSL	0.781950	7.114566	5.766586	0.744766
xDSL	0.161630	7.807307	5.259170	0.704676
家族	0.161630	7.807307	5.259170	0.704676
最受	0.161630	7.807307	5.259170	0.704676
双绞线	0.161630	7.807307	5.259170	0.704676
媒介	0.881106	6.555560	5.581426	0.730705
局端	0.304884	7.402045	5.415813	0.717579
卡	0.365052	7.402045	5.505485	0.724751
专用网	0.697663	6.891626	5.614563	0.733268
现状	2.199233	4.819273	5.117930	0.692627
现存	0.807475	6.422232	5.476568	0.722455
从根本上	0.597953	6.709508	5.457728	0.720950
威胁	1.899446	5.173523	5.256669	0.704466
数据仓库	0.713977	6.891626	5.626078	0.734154
配置管理	0.499787	7.402045	5.661964	0.736900
网络综合	0.839494	6.555560	5.557329	0.728827
pm	0.257684	7.807307	5.491300	0.723627
RS	1.008870	6.422232	5.587464	0.731173
子码	0.373650	7.402045	5.517077	0.725667
SSRS	0.284950	7.807307	5.541388	0.727579
MSDS	0.277574	7.807307	5.528326	0.726553
ρ	0.645506	7.114566	5.671022	0.737589
心脏	0.639006	6.891626	5.570815	0.729879
方向性	1.184575	6.104387	5.515746	0.725562
圆阵	0.688145	6.709508	5.527682	0.726503
直线阵	0.470515	7.114566	5.513509	0.725385
由该	0.553460	6.891626	5.499236	0.724256
扇形	0.277881	7.402045	5.369654	0.713826
增刊	1.718456	5.670287	5.480608	0.722777
风暴	0.413336	7.114566	5.448995	0.720251
泛洪	1.076659	6.304652	5.564633	0.729398
